Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
193,DeMarre Carroll,33,HOU,C,2,0,3,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,1.5,1.5,0.5,0,0,0,0.5,1,,carrode01
194,Paul Watson,25,TOR,SF,2,0,4.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0.5,0.5,0,0,0,1,,watsopa01
195,Michael Frazier,25,HOU,SG,4,0,3,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0,0,,0.3,0.8,1,0.5,0,0,0.3,0,0.8,,frazimi01
196,Furkan Korkmaz,22,PHI,SG,4,0,10,0,1.8,0,0,1.5,0,0,0.3,0,0,0.8,1.3,0.6,0,1.5,1.5,0.5,0.3,0,0.5,0.8,0.8,,korkmfu01
197,Amir Coffey,22,LAC,SG,3,0,2.3,0,1,0,0,0.3,0,0,0.7,0,0,0.7,0.7,1,0,0,0,1.3,0.3,0,0,0,0.7,,coffeam01
198,Keita Bates-Diop,24,DEN,SF,5,0,4.8,0.2,1,0.2,0,0,,0.2,1,0.2,0.2,0.2,0.4,0.5,0.6,0.6,1.2,0.2,0,0,0,0,0.6,,bateske01
199,Jarrell Brantley,23,UTA,PF,2,0,6.5,0,2.5,0,0,1.5,0,0,1,0,0,0.5,1,0.5,1.5,0.5,2,1,0,0.5,0.5,2,0.5,,brantja01
200,Terance Mann,23,LAC,SF,13,0,2.1,0.2,0.4,0.4,0,0.2,0,0.2,0.2,0.667,0.4,0,0,,0,0.5,0.5,0.1,0.1,0,0.2,0.3,0.3,,mannte01
201,Sterling Brown,24,MIL,SF,1,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0,,brownst02
202,Deonte Burton,26,OKC,SF,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,burtode02
203,Tyson Chandler,37,HOU,C,1,0,0,0,0,,0,0,,0,0,,,0,2,0,0,0,0,0,0,0,0,0,0,,chandty01
204,Tyler Cook,22,DEN,SF,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,,cookty01
205,Jared Dudley,34,LAL,PF,9,0,3.4,0,0.4,0,0,0.3,0,0,0.1,0,0,0,0,,0,0.2,0.2,0,0.4,0.1,0.2,0.2,0,,dudleja01
206,Carsen Edwards,21,BOS,SG,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,,edwarca01
207,Alize Johnson,23,IND,PF,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,johnsal02
208,Frank Mason III,25,MIL,PG,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0.5,0,0,0,0,0,,masonfr01
209,Joakim Noah,34,LAC,C,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,noahjo01
210,Kyle O'Quinn,29,PHI,C,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,2,3,0,,oquinky01
211,Norvel Pelle,26,PHI,C,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,0,0,,pelleno01
