Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
24,Cason Wallace,21,OKC,SG,20,3,458,9.7,0.486,0.519,0.087,4.7,8.1,6.4,13.5,2.5,2,12.2,11.4,0.2,0.7,0.9,0.094,-2.2,3.2,1,0.4,,wallaca01
25,Michael Porter Jr.,26,DEN,SF,14,14,435,8.2,0.507,0.583,0.117,3.6,15.6,9.7,3,1,1.3,9.3,13.8,-0.1,0.3,0.2,0.025,-1.1,-1.1,-2.2,0,,portemi01
26,Derrick White,30,BOS,SG,11,11,415,18.8,0.636,0.707,0.245,3.9,11,7.6,15.8,0.9,2.7,7.4,19.3,1.3,0.5,1.8,0.208,5.1,1.4,6.6,0.9,,whitede01
27,Rudy Gobert,32,MIN,C,15,15,411,14.4,0.584,0,0.633,13.5,22.9,18.3,3.8,1,4.3,11.4,12,0.6,0.6,1.2,0.138,-0.8,0.4,-0.3,0.2,,goberru01
28,Jaylen Brown,28,BOS,SF,11,11,402,16,0.542,0.323,0.338,3.8,17.6,10.9,19.7,1.4,0.7,14.8,29.9,0.1,0.6,0.7,0.083,-0.1,0.3,0.2,0.2,,brownja02
29,Jimmy Butler,35,GSW,SF,11,11,397,20.6,0.564,0.237,0.526,7.1,14.2,10.5,24.1,1.8,0.7,6.5,22.2,1.2,0.4,1.6,0.191,3.8,1.3,5.1,0.7,,butleji01
30,Draymond Green,34,GSW,PF,12,12,389,7.8,0.479,0.556,0.12,2.5,17.5,9.6,17.9,2.2,2.6,24,17,-0.6,0.5,-0.1,-0.009,-4.3,1.8,-2.5,0,,greendr01
31,Brandin Podziemski,21,GSW,SG,12,11,385,10.6,0.473,0.508,0.182,4.5,13.7,8.9,15,2,0.5,11.2,18.4,-0.1,0.4,0.3,0.036,-1.2,0.2,-1.1,0.1,,podzibr01
32,Donte DiVincenzo,28,MIN,SG,15,0,377,9.8,0.493,0.698,0.103,3.8,10.4,7.1,18.9,2.8,1.1,17.5,18.4,-0.1,0.5,0.4,0.046,-2.1,1.5,-0.5,0.1,,divindo01
33,Naz Reid,25,MIN,C,15,0,375,13.8,0.645,0.573,0.227,5,16.9,11,9.9,1.5,3.7,18.8,17.2,0.3,0.5,0.8,0.107,0.3,2.2,2.5,0.4,,reidna01
34,Obi Toppin,26,IND,PF,20,0,374,15,0.589,0.438,0.194,4,18.8,11.9,11.2,1.6,2,10.8,20.8,0.3,0.4,0.7,0.087,0.3,0.5,0.8,0.3,,toppiob01
35,Mitchell Robinson,26,NYK,C,18,4,370,15.3,0.555,0,1.098,20.5,19.2,19.9,2.6,2.3,3.8,14.7,10.4,0.5,0.5,1.1,0.138,0,0.2,0.2,0.2,,robinmi01
36,Mike Conley,37,MIN,PG,15,15,356,8.8,0.442,0.625,0.135,4,10.3,7.2,19,1.3,0.8,10.6,13.8,0.2,0.3,0.5,0.062,-2,0.1,-1.9,0,,conlemi01
37,Al Horford,38,BOS,C,11,9,348,12.3,0.586,0.486,0.097,6,15,10.7,8.7,1.1,3.7,8.5,10.8,0.5,0.6,1.1,0.146,0.3,2.4,2.7,0.4,,horfoal01
38,Miles McBride,24,NYK,PG,18,0,341,7.7,0.533,0.656,0.189,1,6.2,3.6,7.4,1.2,0.6,10.1,13.8,0.1,0.2,0.3,0.04,-1.9,0.1,-1.8,0,,mcbrimi01
39,T.J. McConnell,32,IND,PG,20,0,328,19.1,0.587,0.125,0.176,4.2,15.1,10,38.1,1.9,0.3,17.5,24.1,0.5,0.3,0.8,0.121,1.9,0.5,2.4,0.4,,mccontj01
40,Buddy Hield,32,GSW,SG,12,9,327,14.7,0.572,0.616,0.112,6,8.8,7.3,10.6,2.2,1.4,9,19.4,0.4,0.3,0.7,0.105,2.2,1.1,3.3,0.4,,hieldbu01
41,Jayson Tatum,26,BOS,PF,8,8,322,24,0.566,0.446,0.309,3.3,28,16,25.3,2.8,1.7,11.6,31.9,0.6,0.8,1.4,0.202,5.4,3.2,8.6,0.9,,tatumja01
42,Bennedict Mathurin,22,IND,SF,19,0,315,18.4,0.672,0.393,0.761,4.8,12.6,8.9,6.6,0.8,1.2,12.3,25.1,0.8,0.2,1,0.156,1.1,-0.4,0.7,0.2,,mathube01
43,Russell Westbrook,36,DEN,PG,13,0,313,11,0.505,0.474,0.301,6.7,10,8.4,17.4,1.9,0.3,16.6,25,-0.2,0.2,0,-0.001,-1.2,-0.8,-2,0,,westbru01
44,Nickeil Alexander-Walker,26,MIN,SG,15,0,310,9.5,0.519,0.558,0.15,3,7,5.1,16.6,1,1.6,16,20.1,0,0.2,0.2,0.029,-1.2,-0.2,-1.4,0,,alexani01
45,Payton Pritchard,27,BOS,PG,11,0,302,13.4,0.615,0.677,0.172,3.5,5.8,4.6,9.2,1,0,7.8,17.5,0.6,0.3,0.9,0.137,1.5,-0.6,0.9,0.2,,pritcpa01
46,Donovan Mitchell,28,CLE,SG,9,9,288,27.4,0.57,0.433,0.459,4.2,12.7,8.3,22,2.9,1.1,6.8,37.2,1,0.4,1.4,0.227,6.5,1.4,7.9,0.7,,mitchdo01
47,Stephen Curry,36,GSW,PG,8,8,281,19.9,0.636,0.615,0.215,0.8,17,8.5,26.7,1.5,2,15.9,26.6,0.5,0.3,0.8,0.13,5.4,1,6.4,0.6,,curryst01
48,Fred VanVleet,30,HOU,PG,7,7,280,15.9,0.632,0.667,0.258,1.2,10.2,5.8,17.8,1.3,0.8,11.2,18.4,0.7,0.2,0.9,0.158,1.9,1.2,3.2,0.4,,vanvlfr01
49,James Harden,35,LAC,PG,7,7,276,18.5,0.567,0.436,0.327,1.7,14.7,8.1,33.8,1.7,2.2,15.4,22.9,0.5,0.2,0.7,0.122,2.5,1.5,4.1,0.4,,hardeja01
